Rank,Institution,Country,Academic_Reputation,Employer_Reputation,Faculty_Student_Ratio,Citations_per_Paper,Staff_with_PhD,Employability_Score,Employability_Category
1,Peking University,China (Mainland),100.0,100.0,98.6,96.4,90.7,83.35,Excellent
2,The University of Hong Kong,Hong Kong SAR,100.0,96.8,93.3,99.5,97.4,82.63,Excellent
3,National University of Singapore (NUS),Singapore,100.0,99.9,85.8,99.9,82.5,83.19,Excellent
4,"Nanyang Technological University, Singapore (NTU)",Singapore,100.0,98.8,93.0,100.0,67.0,83.33,Excellent
5,Fudan University,China (Mainland),99.8,99.5,92.5,92.1,73.4,82.7,Excellent
6,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,99.9,91.5,84.0,99.6,80.3,82.6,Excellent
7,Tsinghua University,China (Mainland),100.0,100.0,99.0,98.6,96.9,83.34,Excellent
8,Zhejiang University,China (Mainland),99.3,99.9,54.2,86.0,95.1,83.22,Excellent
9,Yonsei University,South Korea,99.8,100.0,94.8,78.2,98.4,83.34,Excellent
10,City University of Hong Kong,Hong Kong SAR,96.6,74.0,97.7,99.8,97.7,83.03,Excellent
11,The Hong Kong University of Science and Technology,Hong Kong SAR,99.7,92.3,76.6,99.9,94.3,83.11,Excellent
12,Universiti Malaya (UM),Malaysia,99.7,99.9,92.1,67.5,84.9,83.44,Excellent
13,Korea University,South Korea,99.5,99.9,87.7,89.4,93.7,83.23,Excellent
14,Shanghai Jiao Tong University,China (Mainland),99.8,99.4,79.1,76.7,61.9,83.03,Excellent
15,KAIST - Korea Advanced Institute of Science & Technology,South Korea,99.9,99.7,79.5,89.1,98.3,82.92,Excellent
16,Sungkyunkwan University(SKKU),South Korea,96.2,96.8,92.9,80.5,97.9,79.36,Good
17,The Hong Kong Polytechnic University,Hong Kong SAR,98.2,78.8,83.1,99.9,64.9,82.12,Excellent
18,Seoul National University,South Korea,100.0,100.0,94.2,69.3,79.0,83.88,Excellent
19,Hanyang University,South Korea,89.4,98.3,91.1,80.0,79.7,80.94,Excellent
20,Universiti Putra Malaysia (UPM),Malaysia,96.2,94.3,77.5,42.7,96.8,76.82,Good
21,The University of Tokyo,Japan,100.0,100.0,97.0,35.8,87.8,83.5,Excellent
